Area,Point,Longitude,Latitude
US_East_Coast,179,-84.4908333333,24.1602777778
US_East_Coast,180,-84.6441666667,24.2222222222
US_East_Coast,181,-84.7686111111,24.2780555556
US_East_Coast,182,-84.9997222222,24.3916666667
US_East_Coast,183,-85.1052777778,24.4436111111
US_East_Coast,184,-85.5316666667,24.6491666667
US_East_Coast,185,-85.7197222222,24.7380555556
US_East_Coast,186,-85.9997222222,24.8991666667
US_East_Coast,187,-86.5019444444,25.1788888889
US_East_Coast,188,-86.3538888889,25.7208333333
US_East_Coast,189,-86.1125,26.2202777778
US_East_Coast,190,-86.2208333333,26.4561111111
US_East_Coast,191,-86.6186111111,26.5627777778
US_East_Coast,192,-87.4930555556,26.0233333333
US_East_Coast,193,-88.55,25.7069444444
US_East_Coast,194,-90.4947222222,25.7816666667
US_East_Coast,195,-90.7847222222,25.7441666667
US_East_Coast,196,-91.8805555556,25.8619444444
US_East_Coast,197,-93.0663888889,26.2955555556
US_East_Coast,198,-93.5644444444,25.9986111111
US_East_Coast,199,-95.6575,26.0088888889
US_East_Coast,200,-96.8083333333,26.0091666667
US_East_Coast,201,-96.9244444444,25.9755555556
US_East_Coast,202,-96.9780555556,25.9708333333
US_East_Coast,203,-97.0316666667,25.9661111111
US_East_Coast,204,-97.0855555556,25.9613888889
US_East_Coast,205,-97.1391666667,25.9566666667
US_East_Coast,206,-97.1463888889,25.9566666667
US_East_Coast,207,-101.5,34.41
Hawaiian_Islands,1,-153.009166667,22.5483333333
Hawaiian_Islands,2,-153.476666667,23.1013888889
Hawaiian_Islands,3,-154.036666667,23.5363888889
Hawaiian_Islands,4,-154.613333333,23.8630555556
Hawaiian_Islands,5,-155.853611111,24.3636111111
Hawaiian_Islands,6,-156.4575,24.6963888889
Hawaiian_Islands,7,-157.371388889,24.9591666667
Hawaiian_Islands,8,-157.903611111,25.2280555556
Hawaiian_Islands,9,-158.51,25.4252777778
Hawaiian_Islands,10,-159.163055556,25.5219444444
Hawaiian_Islands,11,-159.905833333,25.5086111111
Hawaiian_Islands,12,-160.664722222,25.3647222222
Hawaiian_Islands,13,-161.6425,25.0016666667
Hawaiian_Islands,14,-162.220277778,24.6802777778
Hawaiian_Islands,15,-162.718888889,24.2647222222
Hawaiian_Islands,16,-163.216666667,23.6805555556
Hawaiian_Islands,17,-163.549444444,23.0555555556
Hawaiian_Islands,18,-163.744722222,22.3358333333
Hawaiian_Islands,19,-163.7675,21.6125
Hawaiian_Islands,20,-163.628888889,20.9238888889
Hawaiian_Islands,21,-163.320277778,20.2261111111
Hawaiian_Islands,22,-162.896666667,19.6508333333
Hawaiian_Islands,23,-162.343055556,19.1619444444
Hawaiian_Islands,24,-161.320555556,18.6544444444
Hawaiian_Islands,25,-160.641666667,18.5086111111
Hawaiian_Islands,26,-159.938055556,18.4919444444
Hawaiian_Islands,27,-159.235555556,18.1780555556
Hawaiian_Islands,28,-158.948611111,17.5213888889
Hawaiian_Islands,29,-158.508055556,16.9016666667
Hawaiian_Islands,30,-157.990277778,16.4302777778
Hawaiian_Islands,31,-157.293055556,15.9991666667
